method,experiment_type,experiment_variant,dataset_direction,model,brier_before,brier_after,ece_before,ece_after,mce_before,mce_after,brier_delta,ece_delta,mce_delta,experiment_id,n,brier_win,ece_win,mce_win,all_win,any_degrade,outcome,failure_category,model_family
platt,external_kaggle_uci,cfs,hungary__to__kaggle,lgbm,0.292313,0.234551,0.241751,0.074314,0.376069,0.216342,-0.057763,-0.167437,-0.159727,external_kaggle_uci__cfs__hungary__to__kaggle__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,hungary__to__kaggle,lr,0.266595,0.238451,0.138539,0.035926,0.138539,0.283467,-0.028145,-0.102613,0.144927,external_kaggle_uci__cfs__hungary__to__kaggle__lr.json,1,True,True,False,False,True,improved,success,linear
platt,external_kaggle_uci,cfs,hungary__to__kaggle,rf,0.246507,0.231662,0.153505,0.082281,0.261178,0.171545,-0.014846,-0.071225,-0.089634,external_kaggle_uci__cfs__hungary__to__kaggle__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,hungary__to__kaggle,xgb,0.289189,0.240306,0.214228,0.088657,0.411301,0.225099,-0.048883,-0.125571,-0.186202,external_kaggle_uci__cfs__hungary__to__kaggle__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland+hungary+switzerland+va,lgbm,0.292284,0.243299,0.207030,0.031962,0.419672,0.041068,-0.048985,-0.175068,-0.378605,external_kaggle_uci__cfs__kaggle__to__cleveland+hungary+switzerland+va__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland+hungary+switzerland+va,lr,0.266936,0.239279,0.139382,0.032872,0.449107,0.085804,-0.027657,-0.106510,-0.363303,external_kaggle_uci__cfs__kaggle__to__cleveland+hungary+switzerland+va__lr.json,1,True,True,True,True,False,improved,success,linear
platt,external_kaggle_uci,cfs,kaggle__to__cleveland+hungary+switzerland+va,rf,0.272529,0.242539,0.175279,0.031204,0.300358,0.049087,-0.029991,-0.144075,-0.251271,external_kaggle_uci__cfs__kaggle__to__cleveland+hungary+switzerland+va__rf.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland+hungary+switzerland+va,xgb,0.279852,0.240874,0.184335,0.033556,0.462780,0.299393,-0.038978,-0.150779,-0.163388,external_kaggle_uci__cfs__kaggle__to__cleveland+hungary+switzerland+va__xgb.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland,lgbm,0.269851,0.241665,0.187739,0.080495,0.420165,0.085058,-0.028186,-0.107245,-0.335107,external_kaggle_uci__cfs__kaggle__to__cleveland__lgbm.json,1,True,True,True,True,False,improved,success,tree
platt,external_kaggle_uci,cfs,kaggle__to__cleveland,lr,0.259623,0.237967,0.180040,0.091717,0.305634,0.396199,-0.021656,-0.088323,0.090565,external_kaggle_uci__cfs__kaggle__to__cleveland__lr.json,1,True,True,False,False,True,improved,success,linear
