,experiment_type,variant,train_sites,test_site,model,n_train,n_test,n_features_used,features_used,best_params,results_path,roc_auc,pr_auc,brier_score,accuracy,f1,precision,recall,specificity,prevalence,ece,mce,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ece_ci_lower,ece_ci_upper,cfs_full_auc,cfs_cfs_auc,cfs_auc_drop,cfs_relative_drop_pct,internal_auc,auc_delta
44,external_uci,,cleveland,switzerland,lgbm,303.0,123,6,"['age', 'sex', 'cp', 'trestbps', 'exang', 'oldpeak']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__switzerland\lgbm\results.json,0.7445652173913043,0.9695276935020668,0.19872005305445542,0.6585365853658537,0.78125,0.974025974025974,0.6521739130434783,0.75,0.9349593495934959,0.3368908196586014,0.6406854222123632,0.46799398812110676,0.9388906232656231,0.9317250297554397,0.9971033505941544,0.16506594002953617,0.23293701908166628,0.5772357723577236,0.7398373983739838,0.2878401697143467,0.38564215906109583,,,,,0.696086956521739,0.048478260869565304
45,external_uci,,cleveland,switzerland,lr,303.0,123,6,"['age', 'sex', 'cp', 'trestbps', 'exang', 'oldpeak']",{'C': 10},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__switzerland\lr\results.json,0.716304347826087,0.9704148551380883,0.21082352986027833,0.7073170731707317,0.82,0.9647058823529412,0.7130434782608696,0.625,0.9349593495934959,0.31304235953030846,0.739813111280376,0.46397682178932176,0.9069675925925925,0.9355469089647716,0.9950625031310074,0.16895449699817786,0.25833047532473535,0.6260162601626016,0.7804878048780488,0.25987066217993793,0.3694124369222453,,,,,0.7243478260869565,-0.008043478260869485
46,external_uci,,cleveland,switzerland,rf,303.0,123,6,"['age', 'sex', 'cp', 'trestbps', 'exang', 'oldpeak']","{'max_depth': 10, 'min_samples_leaf': 5}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__switzerland\rf\results.json,0.7793478260869566,0.9735429931341877,0.17559884953152843,0.7154471544715447,0.8241206030150754,0.9761904761904762,0.7130434782608696,0.75,0.9349593495934959,0.3131896714919643,0.917218746705619,0.48774808054469077,0.982982036795596,0.9389555873024777,0.9993049122038373,0.1453460970731414,0.20675180469184254,0.6380081300813009,0.7967479674796748,0.26825170742811516,0.3609219603931039,,,,,0.7217391304347827,0.05760869565217397
47,external_uci,,cleveland,switzerland,xgb,303.0,123,6,"['age', 'sex', 'cp', 'trestbps', 'exang', 'oldpeak']","{'subsample': 0.7, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__switzerland\xgb\results.json,0.7706521739130435,0.9760260681387491,0.19708915054798126,0.6422764227642277,0.7684210526315789,0.9733333333333334,0.6347826086956522,0.75,0.9349593495934959,0.33289611109388556,0.7958312481641769,0.5233208991259838,0.9554347826086957,0.944620867548832,0.9976680398900216,0.16235764175653458,0.23142307661473752,0.5609756097560976,0.7235772357723578,0.28343613151067154,0.38324620028942585,,,,,0.758695652173913,0.011956521739130532
48,external_uci,,cleveland,va,lgbm,303.0,200,10,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__va\lgbm\results.json,0.7453612317410185,0.8813280451947672,0.17151604372165127,0.745,0.8349514563106796,0.80625,0.8657718120805369,0.39215686274509803,0.745,0.09108985386879537,0.38376041583465337,0.661550460063525,0.8219481522565455,0.8216759273554443,0.9316845891459389,0.14644352127928847,0.19792762075290524,0.68,0.8,0.06906193450469106,0.1530640486333417,,,,,0.6466666666666667,0.09869456507435181
49,external_uci,,cleveland,va,lr,303.0,200,10,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']",{'C': 0.1},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__va\lr\results.json,0.7033820239505197,0.8708437324492506,0.19821311625489257,0.75,0.8466257668711656,0.7796610169491526,0.9261744966442953,0.23529411764705882,0.745,0.16826838798155636,0.31252884461679864,0.6192563545489836,0.7816730638355791,0.8125872961294174,0.9257802394003677,0.15771167628938695,0.24503760430155774,0.685,0.805,0.12525872685094047,0.23204331920447552,,,,,0.8233333333333333,-0.11995130938281351
50,external_uci,,cleveland,va,rf,303.0,200,10,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']","{'max_depth': 10, 'min_samples_leaf': 10}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__va\rf\results.json,0.7427293064876958,0.8766866927534187,0.17768581691684354,0.74,0.8266666666666667,0.8211920529801324,0.8322147651006712,0.47058823529411764,0.745,0.10615525047798098,0.26075853461788234,0.657362141966381,0.822042160024387,0.8129241380905341,0.932132112090778,0.15268489105406258,0.20376303725438988,0.675,0.8,0.07447564067110243,0.16649311240286097,,,,,0.6666666666666667,0.07606263982102901
51,external_uci,,cleveland,va,xgb,303.0,200,10,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']","{'subsample': 0.8, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland__to__va\xgb\results.json,0.7303592577970786,0.8742649289275635,0.17088432610034943,0.745,0.8370607028753994,0.7987804878048781,0.8791946308724832,0.35294117647058826,0.745,0.05592929229140278,0.2504372298717499,0.6446597035040432,0.8030744873829665,0.8095106761834656,0.9300242435058346,0.1464855533093214,0.1970748025923967,0.685,0.8,0.04948458321020007,0.1304581628572196,,,,,0.6933333333333334,0.0370259244637452
52,external_uci,,cleveland+hungary+switzerland,va,lgbm,720.0,200,8,"['age', 'sex', 'cp', 'trestbps', 'chol', 'thalach', 'exang', 'oldpeak']","{'num_leaves': 15, 'max_depth': 3, 'learning_rate': 0.01}",outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland+hungary+switzerland__to__va\lgbm\results.json,0.7300302671404132,0.8770662609325616,0.18017889486721955,0.735,0.8153310104529616,0.8478260869565217,0.785234899328859,0.5882352941176471,0.745,0.10219367112934614,0.22513727958477264,0.6462079861654856,0.8098653646916146,0.8135153031971718,0.9321647080725478,0.15167357536660003,0.21059286444391112,0.68,0.795,0.07118400767015504,0.16330473289863826,,,,,0.6466666666666667,0.08336360047374647
53,external_uci,,cleveland+hungary+switzerland,va,lr,720.0,200,8,"['age', 'sex', 'cp', 'trestbps', 'chol', 'thalach', 'exang', 'oldpeak']",{'C': 1},outputs\runs\20260301T225358_93bf3a3395d35eb1\external_uci\cleveland+hungary+switzerland__to__va\lr\results.json,0.7522042373996578,0.8891615960502874,0.18250495355329033,0.71,0.7972027972027972,0.8321167883211679,0.7651006711409396,0.5490196078431373,0.745,0.1204282550394463,0.41363472585292393,0.6773637483670248,0.8295102815796196,0.8279023143871052,0.9395173795446439,0.1509919287136582,0.2143789324437894,0.645,0.77,0.09351712772339753,0.18957433898862497,,,,,0.8233333333333333,-0.07112909593367545
